,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
95,5000,1000,0.30271282071149846,10,-5,0.05,1,-1,10.02482895311127,-5.4224960992300915,0.10400391677465914,0.9962360253563902,-0.9103580726339366
96,500,200,0.07816278590969516,10,-5,0.05,1,-1,11.916741892407224,-6.025801188418981,0.011914956192496587,0.9695856868887346,-0.4877137358837052
97,5000,200,0.23857274753176522,10,-5,0.05,1,-1,11.581214808543804,-6.028163558717814,0.32481257102678024,1.022396077760839,-1.29158085657031
98,500,500,0.25441822463411595,10,-5,0.05,1,-1,12.212234363818494,-6.385403632154314,1.2656641876665347e-05,1.0311727656906873,-0.5306354741472633
99,5000,500,0.5782959967899407,10,-5,0.05,1,-1,10.37569598506289,-5.937622916489458,0.1203656433761156,0.9409916579983503,-1.0904372492900214
100,500,1000,0.12750140765620274,10,-5,0.05,1,-1,11.774086972944312,-5.52773922299857,1.095643599036304e-05,0.9940714657490429,-0.49274780325036277
101,5000,1000,0.7183404627778252,10,-5,0.05,1,-1,10.345170173719628,-6.006324234918798,0.07257794048703155,0.9184530125324616,-1.077766435178166
102,500,200,0.08296065738513424,10,-5,0.05,1,-1,9.517467119613787,-4.401763904340634,0.02278308116983447,0.8163171144249413,-0.8057627450475768
103,5000,200,0.08377549421251688,10,-5,0.05,1,-1,11.106948478760934,-5.523529823374179,0.39182418048334555,1.0503926889435973,-1.1532890287478115
104,500,500,0.14297621867473911,10,-5,0.05,1,-1,9.248879505121568,-4.5266596110550745,4.721673285071835e-05,0.8165652969178778,-0.736752087811388
105,5000,500,0.12168804097226346,10,-5,0.05,1,-1,10.898240472244364,-5.640019507211764,0.39820747986896177,1.034765161796699,-1.0016820265798245
106,500,1000,0.21769426147063917,10,-5,0.05,1,-1,9.430836318491004,-4.289354791946663,7.0560886876141576e-06,0.8254362236734045,-0.7152674962106191
107,5000,1000,0.2239230637136512,10,-5,0.05,1,-1,10.673775938800146,-5.71873382153378,0.11069008231871996,1.016836601332413,-0.9245835291372946
108,500,200,0.49729667591856946,10,-5,0.05,1,-1,8.890320140892848,-3.804518420039588,0.022233759112202173,0.8306061410397854,-0.7896612679600828
109,5000,200,0.09817236160931882,10,-5,0.05,1,-1,11.617521501440963,-5.746053366333311,0.5228985007696659,1.220532013323272,-1.2196814065450114
110,500,500,0.8525419462931185,10,-5,0.05,1,-1,8.641004829032461,-3.2894703089384505,8.653979978479404e-05,0.798112265139253,-0.7725476018178385
111,5000,500,0.09039846351582068,10,-5,0.05,1,-1,11.442859727098632,-5.743772829166264,0.43326944377275356,1.2164614332932402,-1.1554509341217887
112,500,1000,0.9614863328146364,10,-5,0.05,1,-1,8.980139069095886,-3.429655112552705,1.1267467137183245e-05,0.828291061419256,-0.8136158077408338
113,5000,1000,0.08920841592755317,10,-5,0.05,1,-1,10.420883653876686,-5.330238482936662,0.106533566342505,1.1109314854408698,-1.0339111466405686
114,500,200,0.05990532015391933,10,-5,0.05,1,-1,9.912305772976403,-5.123696422997629,0.04071518857747136,0.8456721178827564,-1.4841690677556894
115,5000,200,0.21030362423474538,10,-5,0.05,1,-1,11.028705591513583,-5.86437051651729,0.43699933256162915,1.0238906162547838,-1.2249025700709142
116,500,500,0.9620737708664391,10,-5,0.05,1,-1,9.803632351834333,-4.06756440382868,0.0002094930410184739,0.8478865900319882,-1.4619454501332434
117,5000,500,0.12415846559820463,10,-5,0.05,1,-1,10.007019999872048,-5.247153369248894,0.14260359107941192,0.937228259002799,-1.0284844548925234
118,500,1000,0.12549011716264996,10,-5,0.05,1,-1,9.687017070895598,-4.613595954743851,1.9856632699291458e-05,0.8425225816013063,-1.375240566295688
119,5000,1000,0.11111716475706053,10,-5,0.05,1,-1,9.93500138179252,-5.15940624415329,0.08350930934442764,0.9346234701396401,-1.0357881347948044
120,500,200,0.06982067742599232,10,-5,0.05,1,-1,9.55674679505066,-4.809401431700268,0.01323652466722493,0.802213061718232,-1.3941407345266053
121,5000,200,0.13521729865172527,10,-5,0.05,1,-1,10.899222606006862,-5.377711939855659,0.37399241023745794,0.9871736100524664,-1.353203348646748
122,500,500,0.06983996506483801,10,-5,0.05,1,-1,9.501252042010512,-4.730167578195678,1.153349745729854e-05,0.7961481899575593,-1.377470870137871
123,5000,500,0.10189176803844283,10,-5,0.05,1,-1,10.75457706512929,-5.421767592405211,0.3321532838760192,0.993139532709401,-1.2124146934332898
124,500,1000,0.06985567871540356,10,-5,0.05,1,-1,9.474190587594121,-4.767642701139408,8.208433339273009e-06,0.7955541954335492,-1.3785744357345628
125,5000,1000,0.09678496127196799,10,-5,0.05,1,-1,10.6091624175048,-5.41056563723267,0.1463791966946589,0.9809531476708618,-1.1486149604577087
126,500,200,1.0883930549040997,10,-5,0.05,1,-1,8.660303869892456,-5.441190207751042,0.013888712870226898,0.830034169484703,-0.49133695951235146
127,5000,200,0.1765225523593767,10,-5,0.05,1,-1,11.383695762061661,-5.916450432768583,0.341933049357077,1.15952040242959,-1.215214879720243
128,500,500,0.1339316038165369,10,-5,0.05,1,-1,8.837862644940884,-3.9520437181894,4.9069001752042014e-05,0.8545960427294047,-0.5128355686621604
129,5000,500,0.10448359787321308,10,-5,0.05,1,-1,11.32102431672425,-5.4917528638484425,0.20516619384496487,1.1536855658542935,-1.1233070592377656
130,500,1000,0.3852457328710449,10,-5,0.05,1,-1,8.444762515877319,-4.7443916721027914,1.4258042646719165e-05,0.8247626983232597,-0.43114309213131946
131,5000,1000,0.1495382971771849,10,-5,0.05,1,-1,10.399931016448388,-4.896881758976603,0.11753995221288978,1.0641983318582346,-1.0223323785816392
132,500,200,0.584297305200928,10,-5,0.05,1,-1,11.16118940465518,-4.738744813648605,0.03242066902706196,1.218114140918821,-1.273671088169523
133,5000,200,0.21208336813619802,10,-5,0.05,1,-1,11.032481677956724,-5.22077810725977,0.4618078161160129,1.149648733736012,-1.4251605132196283
134,500,500,0.3087391424757783,10,-5,0.05,1,-1,11.140700283805009,-4.880536156822377,4.5386189648015806e-05,1.2023293961733499,-1.2147170764491024
135,5000,500,0.5262639325971252,10,-5,0.05,1,-1,10.77048776758454,-4.720616537114111,0.3029256226369201,1.1121784520958093,-1.290494713347973
136,500,1000,0.34987827997376153,10,-5,0.05,1,-1,10.893876004668945,-5.738276003029815,8.400962198417697e-06,1.1783192472773578,-1.1721669437026603
137,5000,1000,0.687845292232188,10,-5,0.05,1,-1,10.262307925651857,-4.363179232065596,0.08954419341473373,1.0739380819306783,-1.1922589719057963
138,500,200,0.15095008095708265,10,-5,0.05,1,-1,10.38767306303976,-4.979994180555317,0.04354686936517017,1.1834189595406606,-0.4641295653255892
139,5000,200,0.21030441295334912,10,-5,0.05,1,-1,11.217951983819564,-5.84343428395185,0.2799845317726035,1.1998891164911145,-1.3562141616469312
140,500,500,0.14793872323434892,10,-5,0.05,1,-1,10.25104547574225,-4.962794653232005,0.0001768904827630844,1.161617410120099,-0.5373250985269177
141,5000,500,0.1308228180634084,10,-5,0.05,1,-1,10.355861930081147,-4.908736136921149,0.22088060828577333,1.1095871246153874,-1.1877576012276487
142,500,1000,1.2015258201532355,10,-5,0.05,1,-1,10.248814690019207,-4.265376831573036,1.179005049354256e-05,1.1487671041922816,-0.4467871988821731
143,5000,1000,1.021995826766954,10,-5,0.05,1,-1,10.363761022332104,-4.215299425506021,0.060522594238790944,1.1183393853824024,-1.207616479639906
144,500,200,0.2309985645628059,10,-5,0.05,1,-1,12.802341873191,-6.243021607189607,0.0944528633769063,1.360572253375341,-0.5344037040390129
145,5000,200,0.07168421780370068,10,-5,0.05,1,-1,10.137732495042496,-5.059477068247747,0.3112650234357699,1.0958693827382282,-0.9477837438080655
146,500,500,0.48776326102494777,10,-5,0.05,1,-1,12.897959262279196,-5.752123706188901,0.0006140327213647322,1.3521588482013636,-0.5470346964798647
147,5000,500,0.1066474453894646,10,-5,0.05,1,-1,9.99704300354776,-5.183429951022006,0.1482990478408453,1.086854463022291,-0.909512489005631
148,500,1000,0.8628961395736501,10,-5,0.05,1,-1,12.532568197386727,-5.621034880186297,1.3345598045190645e-05,1.3383382751310378,-0.4860807881182948
149,5000,1000,0.20680499728728763,10,-5,0.05,1,-1,9.78154322111144,-5.255721158579428,0.037444283177440287,1.0726408830369665,-0.8617232315702944
